"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?"
"study_id","demographics",,"text","Subject ID",,"Consortium ID: S-00000-G-C","ncanda_id",,,,,"y",,,,
"dob","demographics","Demographics","text","Date of Birth",,,"date_ymd",,,"y",,"y",,,,
"sex","demographics",,"dropdown","Gender","0, Female | 1, Male",,,,,,,"y",,,,
"hispanic","demographics",,"dropdown","Are you of Hispanic or Latino descent? ","1, No | 5, Yes | 9, No Response",,,,,,,"y",,,,
"race","demographics",,"dropdown","To which racial group do you belong?","1, Native American/American Indian | 2, Asian | 3, Pacific Islander | 4, African-American/Black | 5, Caucasian/White | 6, Other (Specify) | 8, Invalid Entry | 9, No Response",,,,,,,"y",,,,
"race_other","demographics",,"text","Please specify""Other"" racial group.",,,,,,,"[race]='6'","y",,,,
"race_other_code","demographics",,"text","Race Others Code",,,,,,,"[race_other] != ''",,,,,
"siblings_enrolled","demographics","Family Relationships","checkbox","Sibling(s) also enrolled?","true, Yes","Check this box if one or more sibling(s) of this subject are also enrolled in the study.",,,,"y",,,,,,
"siblings_id1","demographics",,"text","First Enrolled Sibling Subject ID",,"Enter the Subject ID of the sibling with the lowest five-digit number part in his/her ID. If THIS subject is the first enrolled sibling, re-enter his/her own number here.","ncanda_id",,,,"[siblings_enrolled(true)] = '1'","y",,,,
"enroll_exception","demographics","Exceptions","checkbox","Exceeds Enrollment Criteria","drinking, Baseline Drinking Levels","Check which (if any) enrollment criteria were exceeded by this subject",,,,,,,,,,
"exclude","demographics","Subject Exclusion","yesno","Exclude",,"Exclude this subject from compiled consortium data set",,,,,,,,,,
"exclude_why","demographics",,"notes","Reason for exclusion",,,,,,"y","[exclude] = '1'",,,,,
"visit_ignore","visit_date",,"checkbox","Should this visit be ignored/excluded?","yes, Yes",,,,,,,,,,,
"visit_ignore_why","visit_date",,"dropdown","Why should this visit be ignored/excluded?","TEMP, Temporary exclusion of a visit accidentally created ahead of time | SKIP, Subject skipped this visit | OTHER, Other reason","Select a reason why this visit should be excluded",,,,,"[visit_ignore(yes)] = '1'","y",,,,
"visit_ignore_why_other","visit_date",,"notes","What is the ""Other"" reason to ignore/exclude this visit",,,,,,"y","[visit_ignore_why]='OTHER'","y",,,,
"visit_date","visit_date",,"text","Date of Visit",,"Enter the first day when the subject was seen for this visit (regardless of instruments administered)","date_ymd",,,"y","[visit_ignore(yes)] = '0'","y",,,,
"age","visit_date",,"calc","Age at Visit","datediff([visit_date], if([baseline_visit_arm_1][dob]<>"""",[baseline_visit_arm_1][dob],[baseline_visit_arm_4][dob]),""y"")",,,,,,"[visit_ignore(yes)] = '0'","y",,,,
"visit_notes","visit_date",,"notes","Notes for this Visit",,"Enter notes regarding quality control etc.",,,,"y","[visit_ignore(yes)] = '0'",,,,,
"np_notes","visit_date",,"notes","Notes for NP Tests",,"Enter notes regarding quality control etc.",,,,"y","[visit_ignore(yes)] = '0'",,,,,
"clin_notes","visit_date",,"notes","Notes for Clinical Battery",,"Enter notes regarding quality control etc.",,,,"y","[visit_ignore(yes)] = '0'",,,,,
"youthreport1_missing","youth_report_1",,"yesno","Is this record permanently missing?",,"Select ""Yes"" if this instrument was not collected, was lost, or is otherwise permanently missing. Set to ""No"" or leave unset if this record exists.",,,,,,,,,,
