"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?"
"record_id","visit_information",,"text","Record ID",,,,,,,,,,,,
"dd1000_subject_id","delayed_discounting_1000","Edit these fields to correct subject/visit assignment (leave empty to keep ID and date as contained in Record ID above)","text","Subject ID",,"Edit this field if subject ID is incorrect",,,,,,,,,,
"dd1000_date","delayed_discounting_1000",,"text","Administration Date",,"Edit this field if administration date is incorrect","date_ymd",,,,,,,,,
"dd1000_exclude","delayed_discounting_1000",,"yesno","Exclude this record?",,"Setting this to ""Yes"" will exclude this record from the compiled dataset",,,,,,,,,,
"dd1000_exclude_reason","delayed_discounting_1000",,"notes","Why is this record being excluded?",,,,,,,"[dd1000_exclude] = '1'","y",,,,
"dd1000_logk_1d","delayed_discounting_1000","Scores: Hypothetical, Future, $1000","text","log(k) One Day",,,"number",0,1,,,,,,,
"dd1000_logk_7d","delayed_discounting_1000",,"text","log(k) One Week",,,"number",0,1,,,,,,,
"dd1000_logk_1mo","delayed_discounting_1000",,"text","log(k) One Month",,,"number",0,1,,,,,,,
"dd1000_logk_6mo","delayed_discounting_1000",,"text","log(k) Six Months",,,"number",0,1,,,,,,,
"dd100_subject_id","delayed_discounting_100","Edit these fields to correct subject/visit assignment (leave empty to keep ID and date as contained in Record ID above)","text","Subject ID",,"Edit this field if subject ID is incorrect",,,,,,,,,,
"dd100_date","delayed_discounting_100",,"text","Administration Date",,"Edit this field if administration date is incorrect","date_ymd",,,,,,,,,
"dd100_exclude","delayed_discounting_100",,"yesno","Exclude this record?",,"Setting this to ""Yes"" will exclude this record from the compiled dataset",,,,,,,,,,
"dd100_exclude_reason","delayed_discounting_100",,"notes","Why is this record being excluded?",,,,,,,"[dd100_exclude] = '1'","y",,,,
"dd100_logk_1d","delayed_discounting_100","Scores: Hypothetical, Future, $100","text","log(k) One Day",,,"number",0,1,,,,,,,
"dd100_logk_7d","delayed_discounting_100",,"text","log(k) One Week",,,"number",0,1,,,,,,,
"dd100_logk_1mo","delayed_discounting_100",,"text","log(k) One Month",,,"number",0,1,,,,,,,
"dd100_logk_6mo","delayed_discounting_100",,"text","log(k) Six Months",,,"number",0,1,,,,,,,
"pasat_subject_id","paced_auditory_serial_addition_test_pasat","Edit these fields to correct subject/visit assignment (leave empty to keep ID and date as contained in Record ID above)","text","Subject ID",,"Edit this field if subject ID is incorrect",,,,,,,,,,
"pasat_date","paced_auditory_serial_addition_test_pasat",,"text","Administration Date",,"Edit this field if administration date is incorrect","date_ymd",,,,,,,,,
"pasat_time","paced_auditory_serial_addition_test_pasat",,"text","Administration Time",,,"time",,,,,,,,,
"pasat_exclude","paced_auditory_serial_addition_test_pasat",,"yesno","Exclude this record?",,"Setting this to ""Yes"" will exclude this record from the compiled dataset",,,,,,,,,,
"pasat_exclude_reason","paced_auditory_serial_addition_test_pasat",,"notes","Why is this record being excluded?",,,,,,,"[pasat_exclude] = '1'","y",,,,
"pasat_pasatscore","paced_auditory_serial_addition_test_pasat","Scores","text","Pasat Score",,,"number",,,,,,,,,
"pasat_pasatscore1","paced_auditory_serial_addition_test_pasat",,"text","Pasat Score1",,,"number",,,,,,,,,
"pasat_pasatscore2","paced_auditory_serial_addition_test_pasat",,"text","Pasat Score2",,,"number",,,,,,,,,
"pasat_pasatscore3","paced_auditory_serial_addition_test_pasat",,"text","Pasat Score3",,,"number",,,,,,,,,
"pasat_pasatwrong","paced_auditory_serial_addition_test_pasat",,"text","Pasat Wrong",,,"number",,,,,,,,,
"pasat_pasatwrong1","paced_auditory_serial_addition_test_pasat",,"text","Pasat Wrong1",,,"number",,,,,,,,,
"pasat_pasatwrong2","paced_auditory_serial_addition_test_pasat",,"text","Pasat Wrong2",,,"number",,,,,,,,,
"pasat_pasatwrong3","paced_auditory_serial_addition_test_pasat",,"text","Pasat Wrong3",,,"number",,,,,,,,,
"pasat_pasatna","paced_auditory_serial_addition_test_pasat",,"text","Pasat NA",,,"number",,,,,,,,,
"pasat_pasatna1","paced_auditory_serial_addition_test_pasat",,"text","Pasat NA1",,,"number",,,,,,,,,
"pasat_pasatna2","paced_auditory_serial_addition_test_pasat",,"text","Pasat NA2",,,"number",,,,,,,,,
"pasat_pasatna3","paced_auditory_serial_addition_test_pasat",,"text","Pasat NA3",,,"number",,,,,,,,,
"pasat_pasatquittime","paced_auditory_serial_addition_test_pasat",,"text","PasatQuittime",,,"number",,,,,,,,,
"pasat_anxpre","paced_auditory_serial_addition_test_pasat",,"text","AnxPre",,,"number",,,,,,,,,
"pasat_happre","paced_auditory_serial_addition_test_pasat",,"text","HapPre",,,"number",,,,,,,,,
"pasat_conpre","paced_auditory_serial_addition_test_pasat",,"text","ConPre",,,"number",,,,,,,,,
"pasat_dispre","paced_auditory_serial_addition_test_pasat",,"text","DisPre",,,"number",,,,,,,,,
"pasat_frupre","paced_auditory_serial_addition_test_pasat",,"text","FruPre",,,"number",,,,,,,,,
"pasat_irrpre","paced_auditory_serial_addition_test_pasat",,"text","IrrPre",,,"number",,,,,,,,,
"pasat_anxexp","paced_auditory_serial_addition_test_pasat",,"text","AnxExp",,,"number",,,,,,,,,
"pasat_hapexp","paced_auditory_serial_addition_test_pasat",,"text","HapExp",,,"number",,,,,,,,,
"pasat_conexp","paced_auditory_serial_addition_test_pasat",,"text","ConExp",,,"number",,,,,,,,,
