Age,Sex,Raw,brief_gec_t,brief_gec_p
14,F,80,29,1
14,F,81,29,1
14,F,82,30,1
14,F,83,30,1
14,F,84,31,1
14,F,85,31,2
14,F,86,32,3
14,F,87,32,4
14,F,88,33,4
14,F,89,33,4
14,F,90,34,5
14,F,91,34,7
14,F,92,35,8
14,F,93,35,8
14,F,94,36,9
14,F,95,36,10
14,F,96,36,10
14,F,97,37,12
14,F,98,37,13
14,F,99,38,14
14,F,100,38,15
14,F,101,39,16
14,F,102,39,16
14,F,103,40,17
14,F,104,40,118
14,F,105,41,20
14,F,106,41,22
14,F,107,42,24
14,F,108,42,25
14,F,109,43,26
14,F,110,43,27
14,F,111,44,27
14,F,112,44,29
14,F,113,44,31
14,F,114,45,32
14,F,115,45,34
14,F,116,46,35
14,F,117,46,37
14,F,118,47,39
14,F,119,47,41
14,F,120,48,42
14,F,121,48,42
14,F,122,49,44
14,F,123,49,45
14,F,124,50,48
14,F,125,50,50
14,F,126,51,51
14,F,127,51,52
14,F,128,52,54
14,F,129,52,56
14,F,130,53,59
14,F,131,53,61
14,F,132,53,63
14,F,133,54,64
14,F,134,54,66
14,F,135,55,67
14,F,136,55,69
14,F,137,56,71
14,F,138,56,73
14,F,139,57,74
14,F,140,57,75
14,F,141,58,76
14,F,142,58,78
14,F,143,59,80
14,F,144,59,81
14,F,145,60,81
14,F,146,60,81
14,F,147,61,82
14,F,148,61,83
14,F,149,61,85
14,F,150,62,86
14,F,151,62,86
14,F,152,63,87
14,F,153,63,89
14,F,154,64,90
14,F,155,64,92
14,F,156,65,92
14,F,157,65,93
14,F,158,66,94
14,F,159,66,95
14,F,160,67,96
14,F,161,67,97
14,F,162,68,97
14,F,163,68,98
14,F,164,69,98
14,F,165,69,98
14,F,166,69,98
14,F,167,70,99
14,F,168,70,99
14,F,169,71,99
14,F,170,71,99
14,F,171,72,99
14,F,172,72,99
14,F,173,73,99
14,F,174,73,99
14,F,175,74,99
14,F,176,74,99
14,F,177,75,99
14,F,178,75,99
14,F,179,76,99
14,F,180,76,99
14,F,181,77,99
14,F,182,77,99
14,F,183,77,99
14,F,184,78,99
14,F,185,78,99
14,F,186,79,99
14,F,187,79,99
14,F,188,80,99
14,F,189,80,99
14,F,190,81,99
14,F,191,81,99
14,F,192,82,99
14,F,193,82,99
14,F,194,83,99
14,F,195,83,99
14,F,196,84,99
14,F,197,84,99
14,F,198,85,99
14,F,199,85,99
14,F,200,85,99
14,F,201,86,99
14,F,202,86,99
14,F,203,87,99
14,F,204,87,99
14,F,205,88,99
14,F,206,88,99
14,F,207,89,99
14,F,208,89,99
14,F,209,90,99
14,F,210,90,99
14,F,211,91,99
14,F,212,91,99
14,F,213,92,99
14,F,214,92,99
14,F,215,93,99
14,F,216,93,99
14,F,217,94,99
14,F,218,94,99
14,F,219,94,99
14,F,220,95,99
14,F,221,95,99
14,F,222,96,99
14,F,223,96,99
14,F,224,97,99
14,F,225,97,99
14,F,226,98,99
14,F,227,98,99
14,F,228,99,99
14,F,229,99,99
14,F,230,100,99
14,F,231,100,99
14,F,232,101,99
14,F,233,101,99
14,F,234,102,99
14,F,235,102,99
14,F,236,102,99
14,F,237,103,99
14,F,238,103,99
14,F,239,104,99
14,F,240,104,99
14,M,80,30,1
14,M,81,30,1
14,M,82,31,1
14,M,83,31,1
14,M,84,32,1
14,M,85,32,1
14,M,86,32,1
14,M,87,33,2
14,M,88,33,3
14,M,89,33,4
14,M,90,34,4
14,M,91,34,5
14,M,92,35,6
14,M,93,35,7
14,M,94,35,7
14,M,95,36,9
14,M,96,36,10
14,M,97,36,11
14,M,98,37,12
14,M,99,37,13
14,M,100,38,14
14,M,101,38,15
14,M,102,38,16
14,M,103,39,17
14,M,104,39,18
14,M,105,39,19
14,M,106,40,19
14,M,107,40,19
14,M,108,41,20
14,M,109,41,21
14,M,110,41,21
14,M,111,42,22
14,M,112,42,23
14,M,113,43,24
14,M,114,43,25
14,M,115,43,26
14,M,116,44,27
14,M,117,44,29
14,M,118,44,32
14,M,119,45,33
14,M,120,45,34
14,M,121,46,36
14,M,122,46,38
14,M,123,46,38
14,M,124,47,39
14,M,125,47,39
14,M,126,47,40
14,M,127,48,41
14,M,128,48,43
14,M,129,49,45
14,M,130,49,46
14,M,131,49,47
14,M,132,50,49
14,M,133,50,51
14,M,134,51,53
14,M,135,51,54
14,M,136,51,56
14,M,137,52,57
