survey_var,evioni_var,description,test,values,notes
test_sessions.datasetid,test_sessions.datasetid,Unique Number for that CNB,Test Sessions,,
test_sessions.siteid,test_sessions.siteid,Site ID battery was administered to,Test Sessions,,
test_sessions.famid,test_sessions.famid,Family ID battery was administered to,Test Sessions,,
test_sessions.subid,test_sessions.subid,Subject ID battery was administered to,Test Sessions,,
test_sessions_v.bblid,test_sessions.bblid,BBLID battery was administered to,Test Sessions,,
test_sessions_v.battery,test_sessions.battery,Battery Name,Test Sessions,,
test_sessions_v.age,test_sessions.age,Age of participant,Test Sessions,,
test_sessions_v.gender,test_sessions.gender,Gender of participant,Test Sessions,,
test_sessions_v.dotest,test_sessions.dotest,Date of CNB,Test Sessions,,
test_sessions_v.dob,test_sessions.dob,Date of Birth of participant,Test Sessions,,
test_sessions_v.handedness,test_sessions.handedness,Handedness of participant,Test Sessions,,
test_sessions_v.education,test_sessions.education,Highest Level of Education of participant,Test Sessions,,
test_sessions_v.feducation,test_sessions.feducation,Highest Level of Education of participant's father,Test Sessions,,
test_sessions_v.meducation,test_sessions.meducation,Highest Level of Education of participant's mother,Test Sessions,,
test_sessions_v.admin_comments,test_sessions.admin_comments,Administrator Comments,Test Sessions,,
,MPRACT.starttime,Start Time for Motor Praxis Test,Motor Praxis Test,,
test_sessions_v.valid_code,test_sessions.valid_code,Automated Validaton Code Assigned,Test Sessions,VC; V; F; 0; S; N; C; X; ,"VC = Computer Validated; V = Valid; F = Valid, problem occurred which affected performance, for a limited number of responses/mild to moderate effect; 0 = No autovalidation rule available;  S=Skipped; N=Not Valid; C = Assessor Comment; X = Excluded"
CPF_A.ScorVers,CPF,Current Programming Version of the Scoring Code,Penn Facial Memory Test,,
CPF_A.status,CPF.status,Status Code Assigned to Test,Penn Facial Memory Test,C; C1; C2; C3; I; I1; I2; I3; T;,C = Complete; C1 = Complete Good Quality Data; C2 = Complete Questionable Data; C3 = Complete Bad Data; I = Incomplete; I1 = Incomplete Good Quality Data; I2 = Incomplete Questionable Data; I3 = Complete Bad Data; 
CPF_A.valid_code,CPF.valid_code,Automated Validaton Code Assigned,Penn Facial Memory Test,VC; V; F; 0; S; N; C; X; ,"VC = Computer Validated; V = Valid; F = Valid, problem occurred which affected performance, for a limited number of responses/mild to moderate effect; 0 = No autovalidation rule available;  S=Skipped; N=Not Valid; C = Assessor Comment; X = Excluded"
CPF_A.CPF_TP,CPF.CPFTP,CPF True Positives,Penn Facial Memory Test,,
CPF_A.CPF_TN,CPF.CPFTN,CPF True Negatives,Penn Facial Memory Test,,
CPF_A.CPF_FP,CPF.CPFFP,CPF False Positives,Penn Facial Memory Test,,
CPF_A.CPF_FN,CPF.CPFFN,CPF False Negatives,Penn Facial Memory Test,,
CPF_A.CPF_TPRT,CPF.CPFTPRT,CPF True Positives Median Response Time (ms),Penn Facial Memory Test,,
CPF_A.CPF_TNRT,CPF.CPFTNRT,CPF True Negatives Median Response Time (ms),Penn Facial Memory Test,,
CPF_A.CPF_FPRT,CPF.CPFFPRT,CPF False Positives Median Response Time (ms),Penn Facial Memory Test,,
CPF_A.CPF_FNRT,CPF.CPFFNRT,CPF False Negatives Median Response Time (ms),Penn Facial Memory Test,,
CPF_A.CPF_CR,CPF.IFAC_TOT,CPF Total Correct Responses,Penn Facial Memory Test,,
CPF_A.CPF_W_RTCR,CPF.IFAC_RTC,CPF Weighted Median Total Correct Response Time (ms),Penn Facial Memory Test,,
CPF_A.CPF_RTCR,,CPF Median Response Total Correct Response Time (ms),Penn Facial Memory Test,,
CPF_A.CPF_ER,,Total Incorrect Responses,Penn Facial Memory Test,,
CPF_A.CPF_RTER,,Median Response Time for Incorrect Responses (ms),Penn Facial Memory Test,,
CPF_A.CPF_W_RTER,,Weighted Median Response Time for Incorrect Responses (ms),Penn Facial Memory Test,,
CPF_A.CPF_RT,,Median Response Time for All Responses (ms),Penn Facial Memory Test,,
CPF_A.CPF_DY,,Total Definitely Yes Responses,Penn Facial Memory Test,,
CPF_A.CPF_DN,,Total Definitely No Responses,Penn Facial Memory Test,,
CPF_A.CPF_PY,,Total Probably Yes Responses,Penn Facial Memory Test,,
CPF_A.CPF_PN,,Total Probably No Responses,Penn Facial Memory Test,,
CPF_A.CPF_DTP,,Total Definitely True Positive Responses,Penn Facial Memory Test,,
CPF_A.CPF_PTP,,Total Probably True Positive Responses,Penn Facial Memory Test,,
CPF_A.CPF_DTN,,Total Definitely True Negative Responses,Penn Facial Memory Test,,
CPF_A.CPF_PTN,,Total Probably True Negative Responses,Penn Facial Memory Test,,
CPF_A.CPF_DFP,,Total Definitely False Positive Responses,Penn Facial Memory Test,,
CPF_A.CPF_EFF,,CPF_A VOLT Efficiency ,Penn Facial Memory Test,,
CPF_A.CPF_DFN,,Total Definitely False Negative Responses,Penn Facial Memory Test,,
CPF_A.CPF_PFN,,Total Probably False Negative Responses,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000001_RESP,CPF.q1_resp,Response for trial 1,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000001_TTR,CPF.q1_ttr,Time to respond (ms) for trial 1,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000001_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000001_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000001_CORR,CPF.q1_corr,Response correct for trial 1,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000002_RESP,CPF.q2_resp,Response for trial 2,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000002_TTR,CPF.q2_ttr,Time to respond (ms) for trial 2,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000002_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000002_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000002_CORR,CPF.q2_corr,Response correct for trial 2,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000003_RESP,CPF.q3_resp,Response for trial 3,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000003_TTR,CPF.q3_ttr,Time to respond (ms) for trial 3,Penn Facial Memory Test,,
CPF_A.CPF_TRIAL000003_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test,,
