current_datasetid,prev_datasetid
3778329,41779
3778309,41780
3778363,41781
3778346,41785
3778340,41791
3778474,41795
3778335,41796
3778320,41798
3778381,41799
3778372,41800
3778287,41803
3778290,41806
3778446,41809
3778410,41821
3778441,41822
3778407,41833
3778442,41834
3778459,41835
3778486,41836
3778425,41837
3778488,41838
3778451,42043
3778424,42465
3778445,42466
3778388,45026
3778487,45028
3778454,45031
3778447,45036
3778457,45037
3778452,45118
3778469,45127
3778431,45142
3778390,45147
3778464,45171
3778480,45173
3778466,45176
3778399,45177
3778412,45180
3778385,45183
3778339,45185
3778282,45187
3778476,45196
3778436,45197
3778326,45199
3778327,45203
3778349,45205
3778367,45209
3778366,45219
3778361,45220
3778481,45223
3778428,45244
3778352,45245
3778342,45250
3778298,45251
3778355,45252
3778321,45253
3778275,45255
3778291,45266
3778332,45284
3778371,45285
3778288,45288
3778337,45289
3778426,45293
3778345,45308
3778310,45309
3778294,45311
3778379,45322
3778306,45323
3778369,45324
3778303,45325
3778477,45333
3778402,45337
3778427,45339
3778433,45340
3778429,45341
3778394,45345
3778430,45350
3778435,45352
3778382,45355
3778401,45356
3778485,45364
3778456,45371
3778384,45380
3778400,45381
3778417,45384
3778391,45386
3778463,45387
3778440,45394
3778419,45405
3778411,45406
3778471,45415
3778479,45418
3778432,45419
3778383,45425
3778421,45430
3778404,45432
3778397,45433
3778392,45444
3778473,45445
3778462,45446
3778489,45452
3778387,45456
3778444,45458
3778467,45463
3778491,45464
3778406,45465
3778405,45466
3778414,45467
3778386,45468
3778490,45472
3778450,45473
3778439,45475
3778398,45476
3778455,45477
3778465,45478
3778460,45479
3778453,45484
3778389,45490
3778468,45493
3778395,45542
3778472,45546
3778449,45547
3778418,45558
3778482,45560
3778434,45563
3778420,45564
3778396,45570
3778470,45576
3778408,45592
3778423,45593
3778403,45596
3778415,45600
3778478,45603
3778422,45604
3778409,45607
3778413,45612
3778438,45624
3778443,45631
3778484,45644
3778437,45724
3778461,45734
3778448,45735
3778458,45752
3778483,45761
3778393,45766
3778416,45773
3778475,45787
3778520,45813
3778548,45873
3778568,45874
3778563,45878
3778587,45895
3778531,45914
3778564,45921
3778554,45922
3778514,45924
3778507,45926
3778590,45933
3778579,45935
3778498,45936
3778500,45963
3778495,45965
3778600,45971
3778574,45973
3778511,45979
3778576,45992
3778578,46011
3778601,46015
3778598,46022
3778545,46034
3778556,46053
3778565,46060
3778577,46065
3778571,46079
3778551,46089
3778547,46097
3778497,46100
3778589,46103
3778499,46104
3778533,46114
3778562,46122
3778597,46147
3778560,46158
3778573,46160
3778584,46161
3778569,46162
3778588,46165
3778538,46171
3778505,46183
3778513,46188
3778558,46190
3778503,46192
3778517,46211
3778540,46215
3778599,46217
3778526,46234
3778581,46236
3778510,46245
3778559,46253
3778542,46256
3778493,46262
3778532,46266
3778546,46267
3778582,46289
3778535,46291
3778539,46306
3778555,46315
3778552,46323
3778583,46324
3778536,46325
3778567,46326
3778525,46329
3778528,46359
3778596,46361
3778575,46363
3778496,46445
3778594,46461
3778530,46462
3778572,46467
3778580,46468
3778522,46487
3778550,46500
3778553,46510
3778515,46512
3778494,46513
3778518,46526
3778521,46527
3778508,46530
3778534,46533
3778516,46544
3778519,46549
3778557,46554
3778585,46566
3778591,46571
3778561,46604
3778595,46611
3778502,46612
3778549,46620
3778524,46623
3778509,46627
3778586,46628
3778512,46630
3778592,46635
3778541,46646
3778537,46664
3778544,46667
3778529,46669
3778504,46670
3778593,46672
3778492,46676
3778506,46677
3778527,46690
3778523,46692
3778501,46703
3778566,46704
3778543,46735
3778570,46736
3778609,46737
3778654,46743
3778625,46745
3778682,46747
3778653,46754
3778711,46755
3778663,46787
3778687,46788
3778634,46790
3778680,46803
3778676,46804
3778710,46805
3778671,46809
3778672,46812
3778706,46822
3778677,46823
3778646,46824
3778660,46827
3778645,46830
3778697,46834
3778685,46835
3778659,46842
3778608,46846
3778643,46879
3778700,46888
3778644,46891
3778675,46904
3778648,46918
3778661,46930
3778668,46931
3778667,46932
3778664,46937
3778673,46948
3778709,46951
3778681,46952
3778602,46954
3778612,46958
3778623,46963
3778704,46973
3778655,46975
3778620,46984
3778637,46985
3778638,47002
3778670,47003
3778642,47005
3778603,47025
3778627,47046
3778610,47051
3778694,47054
3778630,47055
3778607,47062
3778619,47064
3778669,47085
3778703,47091
3778606,47092
3778695,47097
3778605,47098
3778707,47099
3778683,47112
3778604,47126
3778614,47135
3778666,47139
3778636,47143
3778640,47149
3778624,47155
3778639,47156
3778705,47157
3778678,47167
3778635,47195
3778692,47197
3778617,47198
3778652,47208
3778690,47210
3778674,47212
3778649,47213
3778699,47217
3778702,47218
3778686,47229
3778621,47230
3778658,47233
3778656,47234
3778633,47237
3778696,47245
3778628,47251
3778611,47252
3778632,47253
3778647,47265
3778662,47269
3778626,47284
3778615,47285
3778641,47291
3778684,47296
3778613,47308
3778657,47317
3778708,47324
3778679,47333
3778651,47336
3778631,47341
3778650,47343
3778665,47384
3778698,47389
3778688,47392
3778622,47396
3778691,47406
3778689,47437
3778629,47442
3778618,47445
3778693,47446
3778701,47448
3778616,47451
3778798,47454
3778782,47455
3778716,47457
3778725,47478
3778804,47479
3778759,47480
3778800,47487
3778803,47488
3778777,47492
3778742,47513
3778727,47521
3778717,47523
3778783,47534
3778809,47537
3778743,47538
3778754,47546
3778760,47549
3778758,47550
3778773,47553
3778811,47554
3778732,47556
3778801,47557
3778805,47558
3778786,47573
3778775,47581
3778740,47595
3778729,47598
3778733,47602
3778750,47617
3778785,47618
3778715,47620
3778755,47625
3778731,47627
3778722,47629
3778815,47631
3778795,47632
3778812,47633
3778764,47634
3778799,47638
3778763,47642
3778788,47645
3778780,47646
3778772,47654
3778718,47655
3778769,47658
3778720,47660
3778778,47664
3778736,47668
3778752,47672
3778817,47674
3778757,47681
3778747,47683
3778737,47684
3778721,47691
3778781,47699
3778735,47701
3787778,47703
3778730,47713
3778767,47715
3778719,47716
3778768,47718
3778789,47724
3778748,47737
3778806,47743
3778816,47748
3778738,47758
3778724,47759
3778776,47760
3778779,47761
3778762,47764
3778749,47767
3778734,47774
3778796,47776
3778774,47777
3778756,47778
3778713,47789
3778808,47796
3778819,47799
3778814,47802
3778714,47803
3778745,47804
3778765,47805
3778792,47810
3778751,47815
3778770,47817
3778712,47824
3778791,47827
3778726,47830
3778793,47835
3778810,47837
3778766,47864
3778723,47876
3778802,47880
3778728,47882
3778784,47885
3778771,47894
3778807,47898
3778818,47904
3778787,47920
3778741,47922
3778753,47943
3778790,47947
3778744,47948
3778797,47952
3778761,47955
3778794,47956
3778739,47965
3778813,47990
3778746,47996
3778846,48043
3778889,48045
3778826,48046
3778904,48061
3778897,48063
3778851,48074
3778843,48118
3778862,48119
3778921,48121
3778850,48150
3778847,48182
3778839,48213
3778929,48215
3778822,48223
3778893,48242
3778874,48269
3778835,48289
3778910,48290
3778886,48316
3778825,48317
3778892,48351
3778820,48369
3778876,48417
3778871,48458
3778901,48500
3778894,48509
3778844,48526
3778863,48536
3778916,48548
3778879,48561
3778833,48599
3778865,48610
3778860,48640
3778840,48642
3778903,48672
3778829,48685
3778870,48700
3778907,48746
3778923,48749
3778924,48765
3778880,48779
3778883,48794
3778857,48805
3778866,48845
3778845,48849
3778882,48858
3778925,48862
3778913,48876
3778823,48933
3778909,48940
3778918,48941
3778831,48942
3778848,48968
3778864,48972
3778898,48993
3778836,49003
3778919,49005
3778854,49027
3778856,49028
3778926,49030
3778868,49032
3778888,49047
3778824,49058
3778852,49069
3778849,49074
3778922,49076
3778837,49077
3778900,49084
3778920,49088
3778869,49092
3778891,49098
3778915,49131
3778895,49161
3778911,49174
3778877,49179
3778873,49197
3778887,49203
3778884,49209
3778842,49220
3778834,49222
3778908,49248
3778821,49255
3778858,49277
3778899,49284
3778861,49293
3778881,49295
3778859,49304
3778902,49329
3778867,49338
3778917,49347
3778875,49348
3778928,49355
3778905,49356
3778885,49363
3778841,49383
3778828,49385
3778927,49391
3778838,49403
3778853,49415
3778878,49416
3778830,49419
3778890,49434
3778832,49455
3778906,49474
3778896,49478
3778872,49484
3778912,49487
3778914,49490
3778827,49522
3778855,49536
3778950,49554
3779001,49557
3778936,49567
3778958,49568
3778930,49603
3778987,49614
3779011,49627
3779029,49657
3778933,49685
3778943,49718
3778972,49720
3779004,49726
3778937,49732
3778970,49736
3778951,49742
3779006,49744
3778962,49779
3779035,49807
3779010,49808
3778967,49852
3778984,49868
3779028,49880
3778940,49893
3778981,49930
3779014,49941
3778942,49949
3779018,49962
3779037,49965
3779034,49979
3778932,49990
3778947,50029
3778941,50030
3778961,50031
3778964,50032
3778946,50041
3779012,50045
3778980,50049
3779038,50059
3779005,50062
3779013,50069
3778953,50076
3778992,50081
3778976,50085
3778948,50089
3778996,50101
3778991,50135
3778978,50140
3778973,50151
3778960,50201
3778935,50202
3779032,50213
3778994,50236
3779025,50259
3779015,50260
3779033,50264
3779030,50273
3779020,50288
3778965,50306
3779002,50308
3779008,50310
3778990,50336
3779021,50389
3778969,50401
3778949,50402
3778986,50417
3779026,50419
3778957,50422
3778938,50442
3778993,50453
3779016,50483
3778963,50492
3778968,50495
3778997,50509
3778971,50514
3778989,50542
3779031,50560
3779022,50584
3779027,50591
3778985,50593
3779024,50604
3779017,50629
3778974,50630
3778955,50633
3778944,50634
3778979,50651
3778959,50655
3778995,50656
3778998,50678
3779009,50679
3778977,50681
3778975,50684
3778988,50686
3779023,50715
3778931,50716
3778982,50717
3779003,50718
3779019,50731
3778945,50747
3778983,50757
3779039,50772
3778954,50774
3778939,50775
3779000,50800
3778966,50801
3778956,50802
3778999,50819
3778952,50820
3779007,50822
3779036,50839
3778934,50846
3779040,50864
3779142,50867
3779064,50871
3779069,50884
3779073,50887
3779070,50905
3779121,50918
3779107,50927
3779103,50928
3779091,50938
3779058,50966
3779054,50979
3779118,50981
3779105,50994
3779059,50995
3779122,51008
3779099,51028
3779126,51043
3779144,51048
3779143,51055
3779111,51062
3779045,51070
3779149,51071
3779085,51085
3779131,51090
3779047,51114
3779062,51117
3779108,51121
3779148,51139
3779068,51154
3779088,51157
3779132,51162
3779135,51172
3779125,51173
3779145,51190
3779057,51196
3779120,51197
3779117,51222
3779114,51226
3779081,51229
3779113,51239
3779133,51250
3779097,51260
3779060,51261
3779104,51262
3779077,51263
3779055,51275
3779115,51278
3779109,51280
3779065,51301
3779140,51302
3779066,51306
3779134,51307
3779082,51308
3779061,51316
3779076,51325
3779095,51326
3779130,51329
3779086,51348
3779094,51352
3779075,51359
3779106,51361
3779123,51366
3779043,51370
3779119,51373
3779078,51396
3779084,51403
3779116,51415
3779147,51448
3779041,51458
3779071,51459
3779067,51463
3779101,51482
3779139,51489
3779102,51507
3779127,51508
3779051,51511
3779049,51512
3779124,51524
3779136,51534
3779053,51538
3779138,51547
3779052,51548
3779056,51558
3779129,51577
3779074,51603
3779044,51614
3779046,51623
3779042,51625
3779080,51632
3779137,51650
3779050,51653
3779141,51661
3779146,51679
3779048,51682
3779090,51683
3779100,51685
3779110,51686
3779092,51694
3779063,51710
3779079,51742
3779093,51743
3779083,51744
3779072,51760
3779098,51761
3779087,51774
3779089,51851
3779096,51856
3779128,51862
3779112,51887
3779178,51891
3779231,51893
3779164,51899
3779168,51900
3779156,51910
3779214,51915
3779155,51924
3779217,51930
3779238,51932
3779249,51980
3779196,51981
3779180,51982
3779187,51984
3779185,51985
3779166,51987
3779227,51991
3779232,51994
3779190,52008
3779242,52019
3779228,52021
3779189,52030
3779233,52033
3779218,52048
3779219,52100
3779161,52106
3779259,52157
3779171,52161
3779194,52168
3779239,52170
3779256,52186
3779247,52214
3779162,52216
3779182,52219
3779158,52224
3779216,52256
3779244,52274
3779251,52276
3779198,52296
3779203,52298
3779163,52302
3779175,52309
3779179,52312
3779210,52338
3779173,52360
3779172,52378
3779240,52379
3779223,52418
3779211,52456
3779237,52457
3779181,52509
3779208,52515
3779209,52517
3779250,52528
3779243,52531
3779230,52532
3779226,52548
3779151,52550
3779193,52566
3779195,52574
3779257,52575
3779207,52581
3779235,52582
3779176,52589
3779183,52609
3779170,52635
3779157,52638
3779236,52645
3779258,52648
3779225,52652
3779167,52680
3779241,52694
3779204,52717
3779186,52726
3779197,52737
3779222,52744
3779246,52745
3779248,52770
3779152,52771
3779205,52774
3779150,52793
3779254,52814
3779165,52857
3779202,52864
3779201,52895
3779200,52912
3779253,52939
3779184,52974
3779224,52980
3779245,52981
3779213,53018
3779159,53020
