Age,Sex,Raw,brief_bri_t,brief_bri_p,brief_mi_t,brief_mi_p
14,F,38,31,1,,
14,F,39,32,1,,
14,F,40,33,2,,
14,F,41,34,4,,
14,F,42,35,6,31,1
14,F,43,35,8,31,1
14,F,44,36,10,32,2
14,F,45,37,11,33,4
14,F,46,38,13,34,5
14,F,47,39,16,35,6
14,F,48,40,18,35,8
14,F,49,41,21,36,8
14,F,50,42,24,37,10
14,F,51,43,25,38,12
14,F,52,44,27,39,15
14,F,53,45,31,40,17
14,F,54,45,35,40,18
14,F,55,46,38,41,20
14,F,56,47,41,42,24
14,F,57,48,45,43,27
14,F,58,49,49,44,29
14,F,59,50,53,45,32
14,F,60,51,56,45,35
14,F,61,52,58,46,37
14,F,62,53,60,47,40
14,F,63,54,63,48,45
14,F,64,54,66,49,49
14,F,65,55,70,49,51
14,F,66,56,72,50,54
14,F,67,57,75,51,56
14,F,68,58,77,52,58
14,F,69,59,79,53,60
14,F,70,60,81,54,63
14,F,71,61,83,54,66
14,F,72,62,85,55,69
14,F,73,63,86,56,72
14,F,74,63,90,57,75
14,F,75,64,92,58,77
14,F,76,65,93,59,80
14,F,77,66,94,59,82
14,F,78,67,95,60,83
14,F,79,68,96,61,85
14,F,80,69,97,62,87
14,F,81,70,98,63,88
14,F,82,71,99,63,89
14,F,83,72,99,64,91
14,F,84,73,99,65,92
14,F,85,73,99,66,93
14,F,86,74,99,67,94
14,F,87,75,99,68,95
14,F,88,76,99,68,96
14,F,89,77,99,69,96
14,F,90,78,99,70,97
14,F,91,79,99,71,98
14,F,92,80,99,72,99
14,F,93,81,99,73,99
14,F,94,82,99,73,99
14,F,95,82,99,74,99
14,F,96,83,99,75,99
14,F,97,84,99,76,99
14,F,98,85,99,77,99
14,F,99,86,99,78,99
14,F,100,87,99,78,99
14,F,101,88,99,79,99
14,F,102,89,99,80,99
14,F,103,90,99,81,99
14,F,104,91,99,82,99
14,F,105,91,99,82,99
14,F,106,92,99,83,99
14,F,107,96,99,84,99
14,F,108,94,99,85,99
14,F,109,95,99,86,99
14,F,110,96,99,87,99
14,F,111,97,99,87,99
14,F,112,98,99,88,99
14,F,113,99,99,89,99
14,F,114,100,99,90,99
14,F,115,,,91,99
14,F,116,,,92,99
14,F,117,,,92,99
14,F,118,,,93,99
14,F,119,,,94,99
14,F,120,,,95,99
14,F,121,,,96,99
14,F,122,,,96,99
14,F,123,,,97,99
14,F,124,,,98,99
14,F,125,,,99,99
14,F,126,,,100,99
14,M,38,31,1,,
14,M,39,32,1,,
14,M,40,33,2,,
14,M,41,34,4,,
14,M,42,35,6,31,1
14,M,43,35,8,32,1
14,M,44,36,10,32,1
14,M,45,37,12,33,1
14,M,46,38,14,34,2
14,M,47,39,16,34,3
14,M,48,39,18,35,4
14,M,49,40,20,35,6
14,M,50,41,23,36,8
14,M,51,42,25,37,11
14,M,52,42,28,37,13
14,M,53,43,29,38,15
14,M,54,44,30,39,16
14,M,55,45,33,39,18
14,M,56,46,36,40,20
14,M,57,46,39,41,22
14,M,58,47,41,41,22
14,M,59,48,43,42,24
14,M,60,49,46,43,25
14,M,61,50,48,43,27
14,M,62,50,51,44,30
14,M,63,51,54,45,32
14,M,64,52,57,45,34
14,M,65,53,59,46,37
14,M,66,54,63,47,38
14,M,67,54,65,47,41
14,M,68,55,67,48,43
14,M,69,56,70,49,46
14,M,70,57,73,49,48
14,M,71,58,76,50,50
14,M,72,58,77,51,53
14,M,73,59,79,51,56
14,M,74,60,81,52,58
14,M,75,61,82,52,60
14,M,76,62,85,53,62
14,M,77,62,88,54,64
14,M,78,63,90,54,96
14,M,79,64,91,55,69
14,M,80,65,93,56,71
14,M,81,65,94,56,73
14,M,82,66,95,57,76
14,M,83,67,96,58,79
14,M,84,68,98,58,81
14,M,85,69,99,59,83
14,M,86,69,99,60,85
14,M,87,70,99,60,87
14,M,88,71,99,61,88
14,M,89,72,99,62,89
14,M,90,73,99,62,90
14,M,91,73,99,63,91
14,M,92,74,99,64,92
14,M,93,75,99,64,93
14,M,94,76,99,65,94
14,M,95,77,99,66,95
14,M,96,77,99,66,95
14,M,97,78,99,67,95
14,M,98,79,99,68,95
14,M,99,80,99,68,96
14,M,100,81,99,69,96
14,M,101,81,99,70,96
14,M,102,82,99,70,96
14,M,103,83,99,71,97
14,M,104,84,99,71,98
14,M,105,84,99,72,98
14,M,106,85,99,73,98
14,M,107,86,99,73,98
14,M,108,87,99,74,98
14,M,109,88,99,75,99
14,M,110,88,99,75,99
14,M,111,89,99,76,99
14,M,112,90,99,77,99
14,M,113,91,99,77,99
14,M,114,92,99,78,99
14,M,115,,,79,99
14,M,116,,,79,99
14,M,117,,,80,99
14,M,118,,,81,99
14,M,119,,,81,99
14,M,120,,,82,99
14,M,121,,,83,99
14,M,122,,,83,99
14,M,123,,,84,99
14,M,124,,,85,99
14,M,125,,,85,99
14,M,126,,,86,99
15,F,38,31,1,,
15,F,39,32,1,,
15,F,40,33,2,,
15,F,41,34,4,,
15,F,42,35,6,31,1
15,F,43,36,9,32,1
15,F,44,37,11,33,2
15,F,45,37,13,34,3
15,F,46,38,15,35,5
15,F,47,39,17,35,8
15,F,48,40,19,36,10
15,F,49,41,21,37,11
15,F,50,42,23,38,12
15,F,51,43,26,39,14
15,F,52,44,30,39,16
15,F,53,45,34,40,19
15,F,54,46,36,41,21
15,F,55,47,38,42,23
